human_readable_id,title,type,description,frequency,degree,text_unit_ids,suggested_schema_type,canonical_name,keep_in_controlled_kg,record_linkage_group,review_notes
100,PARKPLÄTZE UND BAULICHE ANLAGEN,INFRASTRUCTURE,Parking lots and similar constructed facilities are used for the double purpose of supporting PV installations and other infrastructural functions.,1,1,['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'],,,,,
101,STROMNETZ,INFRASTRUCTURE,"The electricity grid (Stromnetz) is the infrastructure to which PV installations are to be connected, described as fundamental for secure renewable energy supply and stable networks, and identified as enabling the integration and distribution of large shares of PV-generated electricity. The supplied descriptions note that the Stromnetz is being incorporated with digitalization and data exchange capabilities and faces challenges from increased renewables, market coupling, and electrification, with calls for simplified and less bureaucratic access.",3,8,"['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'
 '41bd25afdc1cce74b36dd6db5e44e91354172fda16475ab6a3f6cf99bddc720aa91cb56b5ea1b1c4774c8c97017d6bb03c52ba2676d7cfaab1c73fed8ab82912'
 '6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302']",,,,,
102,NETZANSCHLUSSVERFAHREN,INFRASTRUCTURE,"The grid-connection procedure is standardized, digitalized, and designed to enable quick and unbureaucratic connection of PV systems in Austria.",1,1,['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'],,,,,
103,PV-STROMERZEUGUNG,TECHNOLOGY,"Photovoltaic electricity generation refers to electricity produced by PV systems, used sectorally (e.g., for heat and mobility), and subject to storage or conversion for surplus.",1,2,['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'],,,,,
104,WASSERSTOFF,TECHNOLOGY,"WASSERSTOFF (hydrogen) is referenced as a technology to be synergistically integrated with photovoltaics and other energy technologies in the context of the renewable-energy transition, with hydrogen produced by converting surplus PV electricity mentioned as part of energy-system integration.",2,2,"['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'
 '6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302']",,,,,
105,DIGITALISIERUNG,TECHNOLOGY,Digitalization refers to enabling technologies and processes for reliable and practical data exchange and sector coupling within the PV electricity sector.,1,1,['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'],,,,,
106,PV-BRANCHE,ORGANIZATION,"The Austrian PV sector/industry, which employs approximately 60,000 people and participates in international competition and export.",1,2,['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'],,,,,
107,ÖSTERREICHISCHE UNTERNEHMEN,ORGANIZATION,Austrian companies cited as technology leaders in segments of the PV value chain and active in global exports.,1,5,['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'],,,,,
108,EUROPÄISCHE SOLARINDUSTRIE,ORGANIZATION,The European solar industry participates in global competition and collaborates with Austria on PV manufacturing and innovation.,1,1,['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'],,,,,
109,GEWERBETRIEBE UND FACHKRÄFTEKAPAZITÄTEN,STAKEHOLDER,Qualified crafts and workforce capacities available in sufficient quantity for PV expansion in Austria.,1,1,['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'],,,,,
110,PRIVATE UND UNTERNEHMERISCHE EINZELANLAGENBETREIBENDE,STAKEHOLDER,Private and commercial individual plant operators referenced in context of investing and operating PV systems.,1,1,['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'],,,,,
111,ENERGIEGEMEINSCHAFTEN,STAKEHOLDER,"ENERGIEGEMEINSCHAFTEN refers to energy communities in Austria through which residents participate in shared photovoltaic (PV) generation and electricity use; these communities represent a new market model in Austria, enabling joint participation in electricity generation and use, are supported through new legal and policy frameworks and by dedicated organizations, and are referenced as operators of shared PV and district storage facilities as well as intended users of emergency and backup power systems.",3,11,"['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'
 '2d9fdebd364caf6ea226dc0ee6624e0c2d54fc65848a9cd18f9b868675333d5be302c20a6cbb1b4f9503e536f5051a60a8783cd3657ab2cf1f9daf65be366c76'
 'dafd7f2f39e49c87969ec1360e9fae0af9de6f290655205c8c120dd24dcc85da04f0536237f7f9529d31deed892d5abae3b8f58fb66ae9e497327f23b1e6b750']",,,,,
112,BEVÖLKERUNG,STAKEHOLDER,"BEVÖLKERUNG refers to the Austrian general public or general population, whose acceptance, participation, and benefit are considered central to strategy objectives and the successful integration of PV (photovoltaic) systems, particularly on buildings, parking lots, and construction facilities.",3,8,"['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'
 '06c273ec9919eb4693462fdacebd50536ccdcf47bacc47b2b30c8a69005636b654b4919dc579696a4a7abbde4a00511a66f0c0be040f4ffc907fc316bee009dc'
 '4d221520fe7090409cfa9cda598db30683356c340ab3584a063ffe92486f2fe7225fc056f8b997f085ff0c0f7475828879fa678b7b1709148cb03584b292dab0']",,,,,
113,FLEXIBLE VERBRAUCHER:INNEN,STAKEHOLDER,Flexible consumers assist in utilizing locally generated PV electricity in a time-optimized manner.,1,2,['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'],,,,,
114,LANDWIRT:INNEN,STAKEHOLDER,"Farmers benefit from Agri-PV installations, maintaining predominant land use for agriculture.",1,1,['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'],,,,,
115,PRODUKTIONSSTÄTTEN FÜR INNOVATIVE PV-KOMPONENTEN,INFRASTRUCTURE,"Production sites for innovative photovoltaic components located in Austria, contributing to domestic value creation.",1,4,['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'],,,,,
116,INVESTITIONSBARRIERE,CONSTRAINT,"Tax and regulatory investment barriers that previously affected the operation of private, business, and shared PV installations, but are described as removed in this scenario.",1,1,['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'],,,,,
117,HOHE PRODUKTQUALITÄT PV-SYSTEME,MARKET_METRIC,"Metric: product quality of PV systems; Value: high; Unit: n/a; Reference year: not stated; Geographic scope: Austria; Approximate: no; Source meaning: PV-system products are described as high-quality, long-lived, and compliant with circular-economy standards.",1,3,['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'],,,,,
118,ARBEITSPLÄTZE IN DER PV-BRANCHE — 60.000 (ÖSTERREICH),MARKET_METRIC,"Metric: employment in the PV industry; Value: 60,000; Unit: jobs; Reference year: not explicitly stated; Geographic scope: Austria; Approximate: yes; Source meaning: There are about 60,000 jobs in Austria's national PV sector.",1,2,['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'],,,,,
119,KOSTENGÜNSTIGER STROM AUS FREIFLÄCHEN-BIODIVERSITÄTSANLAGEN UND AGRI-PV-ANLAGEN,MARKET_METRIC,Metric: affordability of electricity generated from large ground-mounted biodiversity PV plants and Agri-PV installations; Value: among the lowest-cost generation types; Unit: n/a; Reference year: not stated; Geographic scope: Austria; Approximate: yes; Source meaning: These types of PV plants are among the most cost-effective sources of electricity.,1,2,['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'],,,,,
120,KALKULIERBARER UND GERINGFÜGIG INTERNATIONAL ABHÄNGIGER STROMPREIS (ÖSTERREICH),MARKET_METRIC,"Metric: predictability and low international dependency of electricity prices; Value: forecastable, minimally dependent on international trends; Unit: qualitative; Reference year: not stated; Geographic scope: Austria; Approximate: yes; Source meaning: Electricity prices in Austria are described as foreseeable and only slightly influenced by international developments.",1,1,['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'],,,,,
121,ALLE NEUEN UND GRUNDLEGEND SANIERTEN GEBÄUDE HABEN STROMERZEUGUNGSFUNKTION,TARGET,"Target: all new and fundamentally renovated buildings have an electricity generation function; Target value: all buildings (new and renovated); Unit: n/a; Deadline: not stated; Geographic scope: Austria; Status: scenario; Source meaning: In the scenario, every new or fundamentally renovated building includes a function for electricity generation.",1,2,['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'],,,,,
122,PRIORITÄT FÜR DEN EIGENVERBRAUCH AUS PV-ANLAGEN ODER GEMEINSCHAFTSANLAGEN,TARGET,Target: standard for maximum self-supply from own PV system or community plant; Target value: as far as possible; Unit: n/a; Deadline: not stated; Geographic scope: Austria; Status: scenario; Source meaning: Meeting one's electricity consumption as much as possible from own or community PV has become standard.,1,4,['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'],,,,,
123,BUNDESLÄNDER SETZEN AMBITIONIERTE AUSBAUZIELE UND SETZEN DIESE UM,TARGET,Target: federal states set and implement ambitious PV expansion goals; Target value: ambitious; Unit: n/a; Deadline: not stated; Geographic scope: Austrian federal states; Status: scenario; Source meaning: Federal states are described as establishing and rigorously achieving ambitious PV rollout targets.,1,1,['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'],,,,,
124,"INVESTITIONSBARRIEREFREIER BETRIEB VON PV-ANLAGEN FÜR PRIVATE, UNTERNEHMERISCHE, GEMEINSCHAFTSANLAGEN UND ENERGIEGEMEINSCHAFTEN",TARGET,"Target: elimination of investment barriers for the operation of PV systems for private, commercial, community, and energy communities; Target value: barrier-free investment; Unit: n/a; Deadline: not stated; Geographic scope: Austria; Status: scenario; Source meaning: Tax and regulatory barriers have been removed for the operation of relevant PV installations.",1,0,['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'],,,,,
125,STARKER PATENTSCHUTZ FÜR PV-PRODUKTION,SUPPORT_SCHEME,Strong patent protection secures the long-term production of PV components in Austria.,1,1,['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'],,,,,
126,KREISLAUFWIRTSCHAFT,SUPPORT_SCHEME,"The circular-economy approach is applied at all steps of PV value creation, aiming for long-lived and sustainable product cycles.",1,4,['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'],,,,,
127,GENEHMIGUNGSVER­­EINFACHUNGEN UND -FREISTELLUNGEN,SUPPORT_SCHEME,Simplified and exempted approval procedures are support schemes to reduce administrative hurdles for PV deployment.,1,2,['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'],,,,,
128,AKTIVER KUNDE,STAKEHOLDER,"AKTIVER KUNDE refers to an active customer as defined by Article 15 of Directive (EU) 2019/944, denoting electricity customers—including individuals—who actively participate in generating, consuming, and potentially sharing PV electricity, and may also engage in energy market activities and participate as part of energy communities.",2,2,"['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'
 'f9e54ba797ff2b80a5f0e5f24e3901236ac4130e4e84d01615e67bc810b290cd5ac7c08f71a782797073050d512eda2695c3659569deba0d4bd5c3ab6195784a']",,,,,
129,EXZELLENTE WETTERSCHUTZFUNKTION DER GEBÄUDEAUSSENTEILE,INFRASTRUCTURE,"External building elements that, in addition to providing weather protection, are standardly used for electricity generation.",1,1,['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'],,,,,
130,VOLKSWIRTSCHAFTLICHES OPTIMUM DER STROMNETZE,CONSTRAINT,The economic optimum of power grids is a constraint or consideration ensuring that increased PV integration is conducted within macroeconomically optimal parameters.,1,1,['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'],,,,,
131,STANDARDISIERTE UND DIGITALISIERTE NETZANSCHLUSSVERFAHREN BEI ALLEN NETZBETREIBERN,INFRASTRUCTURE,Standardized and digitalized grid connection procedures implemented by all grid operators for PV systems in Austria.,1,1,['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'],,,,,
132,PV-ANLAGEN IN UNTERSCHIEDLICHER AUSRICHTUNG UND NEIGUNG,TECHNOLOGY,PV installations in different orientations and inclinations perform grid and system-serving functions as described in the scenario.,1,1,['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'],,,,,
133,STROMPREIS (ÖSTERREICH),MARKET_METRIC,Metric: electricity price; Value: forecastable and only slightly internationally dependent; Unit: qualitative; Reference year: not stated; Geographic scope: Austria; Approximate: yes; Source meaning: Describes the predictable and relatively independent nature of Austrian electricity price in the scenario.,1,0,['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'],,,,,
134,HOHE AKZEPTANZ DER PHOTOVOLTAIK IN DER BEVÖLKERUNG,MARKET_METRIC,"Metric: social acceptance of photovoltaic deployment; Value: high; Unit: qualitative; Reference year: not stated; Geographic scope: Austria; Approximate: yes; Source meaning: Photovoltaic deployment achieves high acceptance among the population through building, parking lot, and infrastructure integration.",1,0,['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'],,,,,
135,LANGLEBIGE PV-PRODUKTE,MARKET_METRIC,Metric: longevity of PV products; Value: long-lived; Unit: qualitative; Reference year: not stated; Geographic scope: Austria; Approximate: yes; Source meaning: PV products are characterized by high durability in the described scenario.,1,1,['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'],,,,,
136,RECYCLINGFÄHIGKEIT PV-PRODUKTE,MARKET_METRIC,Metric: recyclability of PV products; Value: meeting circular economy criteria; Unit: qualitative; Reference year: not stated; Geographic scope: Austria; Approximate: yes; Source meaning: PV products comply with circular economy requirements in the scenario.,1,1,['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'],,,,,
137,EXPORT VON PV-TECHNOLOGIE UND KOMPONENTEN,MARKET_METRIC,Metric: export of PV technology and components from Austria; Value: attractive globally; Unit: qualitative; Reference year: not stated; Geographic scope: global; Approximate: yes; Source meaning: Certain Austrian PV technologies are described as export successes worldwide.,1,1,['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'],,,,,
138,ERZEUGTE PV-STROM FÜR WÄRME UND MOBILITÄT,TARGET,Target: use of PV-generated electricity sector-overarching for heat and mobility; Target value: large share; Unit: qualitative; Deadline: not stated; Geographic scope: Austria; Status: scenario; Source meaning: PV electricity is increasingly used for heat and mobility services.,1,1,['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'],,,,,
139,ZEITOPTIMALE NUTZUNG VON PV-STROM,TARGET,Target: time-optimal use of self-generated PV electricity; Target value: as much as possible; Unit: qualitative; Deadline: not stated; Geographic scope: Austria; Status: scenario; Source meaning: Flexible consumers ensure the optimal temporal allocation of PV-generated power.,1,1,['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'],,,,,
140,SEKTORÜBERGREIFENDE NUTZUNG VON PV-STROM,TARGET,"Target: cross-sectoral use of PV-generated electricity; Target value: large share; Unit: qualitative; Deadline: not stated; Geographic scope: Austria; Status: scenario; Source meaning: PV-generated electricity is extensively employed for heat, mobility, and other sectoral demands.",1,1,['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'],,,,,
141,VERHINDERUNG VON EINSPEISE- UND LASTSPITZEN DURCH EMANAGEMENT UND SPEICHER,TARGET,Target: prevention of feed-in and load peaks via on-site integration of energy management systems and storage; Target value: system-wide; Unit: qualitative; Deadline: not stated; Geographic scope: Austria; Status: scenario; Source meaning: Integration of energy management and storage in nearly every PV system is described as preventing feed-in and demand peaks.,1,2,['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'],,,,,
142,NEUE PRODUKTIONSPROZESSE UND SKALENEFFEKTE,SUPPORT_SCHEME,New production processes and economies of scale are supported mechanisms that guarantee lower costs in the Austrian PV sector.,1,1,['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'],,,,,
143,MEHRFAMILIENHÄUSER,GEOGRAPHIC_AREA,"Multi-family buildings in Austria, referenced as loci for the participation of residents in the energy transition through collective generation and ownership models.",1,0,['f9e54ba797ff2b80a5f0e5f24e3901236ac4130e4e84d01615e67bc810b290cd5ac7c08f71a782797073050d512eda2695c3659569deba0d4bd5c3ab6195784a'],,,,,
144,GEMEINSCHAFTSANLAGE,TECHNOLOGY,"A shared PV installation enabling community-based energy generation/consumption among multiple users, relevant for multi-occupancy buildings.",1,2,['f9e54ba797ff2b80a5f0e5f24e3901236ac4130e4e84d01615e67bc810b290cd5ac7c08f71a782797073050d512eda2695c3659569deba0d4bd5c3ab6195784a'],,,,,
145,ENERGIEGEMEINSCHAFT,STAKEHOLDER,"Energy communities; stakeholder groups participating collectively in renewable energy generation, consumption, or distribution, allowing broader citizen participation.",1,2,['f9e54ba797ff2b80a5f0e5f24e3901236ac4130e4e84d01615e67bc810b290cd5ac7c08f71a782797073050d512eda2695c3659569deba0d4bd5c3ab6195784a'],,,,,
146,BEWOHNER:INNEN IN MEHRFAMILIENHÄUSERN,STAKEHOLDER,Residents of multi-family buildings in Austria; stakeholders in PV deployment and energy market participation via shared installations and energy communities.,1,2,['f9e54ba797ff2b80a5f0e5f24e3901236ac4130e4e84d01615e67bc810b290cd5ac7c08f71a782797073050d512eda2695c3659569deba0d4bd5c3ab6195784a'],,,,,
147,BETREIBER:INNEN DER PV-ANLAGEN,STAKEHOLDER,Operators of PV systems in Austria; stakeholders enabled by digital market communication to participate directly in electricity and flexibility markets.,1,1,['f9e54ba797ff2b80a5f0e5f24e3901236ac4130e4e84d01615e67bc810b290cd5ac7c08f71a782797073050d512eda2695c3659569deba0d4bd5c3ab6195784a'],,,,,
148,SMARTE ENERGIEMANAGEMENTLÖSUNGEN,TECHNOLOGY,"Smart energy management solutions that optimize the use of building-produced PV electricity, are usable in households and businesses, and can be automated or simple to use.",1,2,['f9e54ba797ff2b80a5f0e5f24e3901236ac4130e4e84d01615e67bc810b290cd5ac7c08f71a782797073050d512eda2695c3659569deba0d4bd5c3ab6195784a'],,,,,
149,HAUSHALT,STAKEHOLDER,"HAUSHALT refers to households in Austria who are stakeholders benefiting from decentralized photovoltaic (PV) generation, enabled to use PV electricity directly at the point of demand, and whose energy usage can be optimized and managed through smart energy management solutions as part of the energy transition.",3,3,"['f9e54ba797ff2b80a5f0e5f24e3901236ac4130e4e84d01615e67bc810b290cd5ac7c08f71a782797073050d512eda2695c3659569deba0d4bd5c3ab6195784a'
 'dafd7f2f39e49c87969ec1360e9fae0af9de6f290655205c8c120dd24dcc85da04f0536237f7f9529d31deed892d5abae3b8f58fb66ae9e497327f23b1e6b750'
 '05802f69e17001a506260c74ca400f6a1368fbf0132720e670d13ffd39c31d615ca94e0ffc071332bd317faa48542bde7970720b9f035d496136fc5d6bbb8ca5']",,,,,
150,DIGITALE MARKTKOMMUNIKATION,INFRASTRUCTURE,Digital market communication infrastructure; provides direct access for PV system operators to participate in various electricity and flexibility markets.,1,2,['f9e54ba797ff2b80a5f0e5f24e3901236ac4130e4e84d01615e67bc810b290cd5ac7c08f71a782797073050d512eda2695c3659569deba0d4bd5c3ab6195784a'],,,,,
151,INVESTITIONSZUSCHUSS FÜR AGRI-PV ANLAGEN,SUPPORT_SCHEME,"Investment subsidy provided for Agri-PV systems, granted without deductions if primary agricultural use is not or only minimally affected, as per EAG §56(10).",1,2,['f9e54ba797ff2b80a5f0e5f24e3901236ac4130e4e84d01615e67bc810b290cd5ac7c08f71a782797073050d512eda2695c3659569deba0d4bd5c3ab6195784a'],,,,,
152,AUSBBAUPOTENTIAL PHOTOVOLTAIK — 41 TWH BY 2040,TARGET,Target: PV expansion potential; Target value: 41; Unit: TWh; Deadline: 2040; Geographic scope: Austria; Status: scenario; Source meaning: The Integrated Austrian Network Infrastructure Plan (ÖNIP/NIP) identifies a technical deployment potential of 41 TWh PV electricity generation by 2040.,1,6,['f9e54ba797ff2b80a5f0e5f24e3901236ac4130e4e84d01615e67bc810b290cd5ac7c08f71a782797073050d512eda2695c3659569deba0d4bd5c3ab6195784a'],,,,,
153,POTENZIAL PV AUF GEBÄUDEN — 15 TWH BY 2040,TARGET,Target: PV generation potential on existing and new buildings; Target value: approximately 15; Unit: TWh; Deadline: 2040; Geographic scope: Austria; Status: scenario; Source meaning: At least approximately 15 TWh of the 41 TWh total PV potential is considered achievable on existing and new buildings by 2040.,1,2,['f9e54ba797ff2b80a5f0e5f24e3901236ac4130e4e84d01615e67bc810b290cd5ac7c08f71a782797073050d512eda2695c3659569deba0d4bd5c3ab6195784a'],,,,,
154,"PV-ANTEIL AM STROMENDVERBRAUCH — CA. 10% (ÖSTERREICH, 2023)",MARKET_METRIC,"Metric: share of photovoltaics in final electricity consumption; Value: approx. 10; Unit: percent; Reference year: 2023; Geographic scope: Austria; Approximate: yes; Source meaning: By the end of 2023, PV installations supplied about 10% of Austria's final electricity consumption.",1,2,['f9e54ba797ff2b80a5f0e5f24e3901236ac4130e4e84d01615e67bc810b290cd5ac7c08f71a782797073050d512eda2695c3659569deba0d4bd5c3ab6195784a'],,,,,
155,"PV-ANTEIL AM ENERGIEBEDARF — CA. 2% (ÖSTERREICH, 2023)",MARKET_METRIC,"Metric: share of photovoltaics in energy demand; Value: approx. 2; Unit: percent; Reference year: 2023; Geographic scope: Austria; Approximate: yes; Source meaning: By the end of 2023, PV installations provided about 2% of Austria's total energy demand.",1,2,['f9e54ba797ff2b80a5f0e5f24e3901236ac4130e4e84d01615e67bc810b290cd5ac7c08f71a782797073050d512eda2695c3659569deba0d4bd5c3ab6195784a'],,,,,
156,"PV-ANTEIL AM ENERGIEANGEBOT — 20% (ÖSTERREICH, 2040 ZIEL)",TARGET,"Target: photovoltaic share of total energy supply; Target value: 20; Unit: percent; Deadline: 2040; Geographic scope: Austria; Status: scenario; Source meaning: By 2040, photovoltaics are projected to provide about 20% of Austria's energy supply.",1,2,['f9e54ba797ff2b80a5f0e5f24e3901236ac4130e4e84d01615e67bc810b290cd5ac7c08f71a782797073050d512eda2695c3659569deba0d4bd5c3ab6195784a'],,,,,
157,"PV-STROMERZEUGUNG ERFORDERLICH — 21 TWH (ÖSTERREICH, 2030)",TARGET,"Target: required photovoltaic electricity generation; Target value: 21; Unit: TWh; Deadline: 2030; Geographic scope: Austria; Status: scenario; Source meaning: According to the NIP scenario, 21 TWh PV electricity is needed by 2030 to enable 100% of Austria's electricity consumption to be nationally accounted as renewable starting in 2030.",1,4,['f9e54ba797ff2b80a5f0e5f24e3901236ac4130e4e84d01615e67bc810b290cd5ac7c08f71a782797073050d512eda2695c3659569deba0d4bd5c3ab6195784a'],,,,,
158,PV-ZUWACHS GEGENÜBER 2020 ERFORDERLICH — 19 TWH BIS 2030,TARGET,"Target: required PV expansion increase compared to 2020; Target value: 19; Unit: TWh; Deadline: 2030; Geographic scope: Austria; Status: scenario; Source meaning: To meet 100% renewable accounting by 2030, an increase of 19 TWh PV output over 2020 is identified as necessary.",1,2,['f9e54ba797ff2b80a5f0e5f24e3901236ac4130e4e84d01615e67bc810b290cd5ac7c08f71a782797073050d512eda2695c3659569deba0d4bd5c3ab6195784a'],,,,,
159,EAG GENANNTE ZUBAUMENGE PV BIS 2030 GEGENÜBER 2020 — 11 TWH,TARGET,Target: PV expansion quantity stated in EAG compared to 2020; Target value: 11; Unit: TWh; Deadline: 2030; Geographic scope: Austria; Status: official; Source meaning: The EAG law cites an expansion goal of 11 TWh additional PV generation by 2030 relative to 2020.,1,2,['f9e54ba797ff2b80a5f0e5f24e3901236ac4130e4e84d01615e67bc810b290cd5ac7c08f71a782797073050d512eda2695c3659569deba0d4bd5c3ab6195784a'],,,,,
